Date,ETH,BTC,SPY,BND,VB,VV,VWO,VXUS
10/14/2016,11.92,638.03,2132.98,83.27,118.82,97.59,37.32,46.15
10/15/2016,11.95,638.16,N/A,N/A,N/A,N/A,N/A,N/A
10/16/2016,11.95,641.92,N/A,N/A,N/A,N/A,N/A,N/A
10/17/2016,11.96,639.56,2126.5,83.45,118.61,97.3,37.25,46.06
10/18/2016,12.54,635.11,2139.6,83.56,119.3,97.89,37.91,46.61
10/19/2016,12.01,629.79,2144.29,83.62,119.81,98.13,38.11,46.77
10/20/2016,12.06,628.05,2141.34,83.57,119.43,98.04,38.06,46.75
10/21/2016,12.05,630.83,2141.16,83.64,119.28,97.99,38.07,46.69
10/22/2016,12.03,652.75,N/A,N/A,N/A,N/A,N/A,N/A
10/23/2016,11.94,651.04,N/A,N/A,N/A,N/A,N/A,N/A
10/24/2016,11.92,649.98,2151.33,83.52,119.85,98.47,38.26,46.74
10/25/2016,11.33,654.3,2143.16,83.52,118.87,98.12,38.23,46.69
10/26/2016,11.49,674,2139.43,83.37,118.08,97.91,37.95,46.43
10/27/2016,11.48,691.21,2133.04,83.14,116.76,97.64,37.66,46.32
10/28/2016,11.13,689.95,2126.41,83.1,116.68,97.3,37.45,46.27
10/29/2016,10.47,714.28,N/A,N/A,N/A,N/A,N/A,N/A
10/30/2016,11.19,697.41,N/A,N/A,N/A,N/A,N/A,N/A
10/31/2016,10.98,696.9,2126.15,83.19,117.22,97.36,37.75,46.31
11/1/2016,10.84,730.7,2111.72,83,115.88,96.68,37.47,46.13
11/2/2016,10.83,744.6,2097.94,83.08,114.58,96.04,37.04,45.74
11/3/2016,10.87,690,2088.66,83.03,114.17,95.63,36.95,45.7
11/4/2016,11.15,706.32,2085.18,83.18,114.59,95.54,36.56,45.26
11/5/2016,11.16,706.99,N/A,N/A,N/A,N/A,N/A,N/A
11/6/2016,11.01,717.02,N/A,N/A,N/A,N/A,N/A,N/A
11/7/2016,10.93,706.42,2131.52,83.07,117.1,97.59,37.8,46.12
11/8/2016,10.84,711.15,2139.56,82.92,117.42,98.08,37.98,46.27
11/9/2016,10.62,720.97,2163.26,82.1,120.04,99.15,36.98,45.96
11/10/2016,10.51,712.91,2167.48,81.75,120.9,99.31,35.91,45.66
11/11/2016,10.29,716.9,2164.45,81.6,122.64,99.2,35.25,45.19
11/12/2016,9.95,704.53,N/A,N/A,N/A,N/A,N/A,N/A
11/13/2016,10.14,704.01,N/A,N/A,N/A,N/A,N/A,N/A
11/14/2016,10.02,708.32,2164.2,81.29,124.52,99.21,35.08,44.91
11/15/2016,10.27,712.29,2180.39,81.4,125.1,99.97,35.74,45.35
11/16/2016,10,739.85,2176.94,81.57,124.99,99.87,35.45,44.88
11/17/2016,9.91,730.71,2187.12,81.24,125.66,100.36,35.46,45.16
11/18/2016,9.51,748.54,2181.9,81.04,125.78,100.13,35.38,44.78
11/19/2016,9.68,750.77,N/A,N/A,N/A,N/A,N/A,N/A
11/20/2016,9.6,731.99,N/A,N/A,N/A,N/A,N/A,N/A
11/21/2016,9.54,736.4,2198.18,81.03,126.62,100.89,35.73,45.18
11/22/2016,9.87,746.66,2202.94,81.1,127.56,101.09,36.12,45.4
11/23/2016,9.8,741.52,2204.72,80.89,128.27,101.15,35.77,45.19
11/24/2016,9.18,737.99,N/A,N/A,N/A,N/A,N/A,N/A
11/25/2016,9.4,739.74,2213.35,80.92,128.7,101.52,35.96,45.37
11/26/2016,9.33,735.7,N/A,N/A,N/A,N/A,N/A,N/A
11/27/2016,8.98,729.24,N/A,N/A,N/A,N/A,N/A,N/A
11/28/2016,8.67,729.77,2201.72,81.11,127.42,101.07,36.14,45.2
11/29/2016,8.14,732.37,2204.66,81.17,127.46,101.22,36.16,45.42
11/30/2016,8.61,742.69,2198.81,80.89,127.26,100.97,36.22,45.38
12/1/2016,8.45,754,2191.08,80.43,126.71,100.58,35.81,45.26
12/2/2016,7.73,769.25,2191.95,80.72,126.87,100.58,35.77,45.38
12/3/2016,7.86,766.98,N/A,N/A,N/A,N/A,N/A,N/A
12/4/2016,7.37,767.99,N/A,N/A,N/A,N/A,N/A,N/A
12/5/2016,6.75,752,2204.71,80.82,128.53,101.21,36.01,45.74
12/6/2016,7.83,759.8,2212.23,80.81,129.81,101.58,36.16,45.98
12/7/2016,8.35,764.34,2241.35,81,131.11,102.89,36.7,46.64
12/8/2016,8.2,767.89,2246.19,80.84,132.66,103.17,36.87,46.67
12/9/2016,8.47,773.22,2259.53,80.6,132.57,103.72,36.7,46.81
12/10/2016,8.14,775.87,N/A,N/A,N/A,N/A,N/A,N/A
12/11/2016,8.23,771.05,N/A,N/A,N/A,N/A,N/A,N/A
12/12/2016,8.5,778.94,2256.96,80.51,131.38,103.6,36.4,46.54
12/13/2016,8.41,776.18,2271.72,80.6,131.55,104.28,36.77,47
12/14/2016,8.24,777.66,2253.28,80.19,129.77,103.47,35.71,46.15
12/15/2016,7.83,776.16,2262.03,80.07,130.46,103.85,35.87,46.12
12/16/2016,7.84,780.98,2258.07,80.14,130.26,103.67,35.65,46.03
12/17/2016,7.85,788.57,N/A,N/A,N/A,N/A,N/A,N/A
12/18/2016,7.92,790.72,N/A,N/A,N/A,N/A,N/A,N/A
12/19/2016,7.64,790.81,2262.53,80.35,131.09,103.89,35.41,45.98
12/20/2016,7.64,798.99,2270.76,80.36,131.94,104.26,35.3,45.73
12/21/2016,7.91,834.5,2265.18,80.48,131.32,104.04,35.19,45.66
12/22/2016,7.55,856.02,2260.96,80.22,129.56,103.24,34.86,45.44
12/23/2016,7.13,917.26,2263.79,80.26,130.12,103.39,35.03,45.57
12/24/2016,7.22,891.5,N/A,N/A,N/A,N/A,N/A,N/A
12/25/2016,7.19,896.12,N/A,N/A,N/A,N/A,N/A,N/A
12/26/2016,7.26,902.09,N/A,N/A,N/A,N/A,N/A,N/A
12/27/2016,7.16,925.2,2268.88,80.2,130.59,103.6,35.2,45.58
12/28/2016,7.62,982.17,2249.92,80.4,129.13,102.75,35.42,45.55
12/29/2016,8.29,970.72,2249.26,80.62,129.47,102.77,35.97,45.8
12/30/2016,8.21,960.81,2238.83,80.79,128.96,102.37,35.78,45.88
12/31/2016,8.16,973.37,N/A,N/A,N/A,N/A,N/A,N/A
1/1/2017,8.18,992.95,N/A,N/A,N/A,N/A,N/A,N/A
1/2/2017,8.38,1011.45,N/A,N/A,N/A,N/A,N/A,N/A
1/3/2017,9.59,1020.67,2257.83,80.8,129.71,103.09,36.17,46.21
1/4/2017,11.17,1130.3,2270.75,80.86,131.88,103.8,36.5,46.72
1/5/2017,10.23,1007,2269,81.27,130.83,103.74,36.88,47.07
1/6/2017,10.14,895.71,2276.98,80.95,130.65,104.13,36.73,46.97
1/7/2017,9.92,909,N/A,N/A,N/A,N/A,N/A,N/A
1/8/2017,10.5,923.33,N/A,N/A,N/A,N/A,N/A,N/A
1/9/2017,10.39,902.66,2268.9,81.15,129.87,103.78,36.67,46.88
1/10/2017,10.63,907,2268.9,81.13,130.82,103.83,36.87,46.96
1/11/2017,9.95,795.77,2275.32,81.17,131.19,104.09,37.19,47.31
1/12/2017,9.8,812.25,2270.44,81.19,130.48,103.86,37.28,47.38
1/13/2017,9.84,831.42,2274.64,81.06,131.3,104.05,37.24,47.52
1/14/2017,9.86,828,N/A,N/A,N/A,N/A,N/A,N/A
1/15/2017,9.9,833.31,N/A,N/A,N/A,N/A,N/A,N/A
1/16/2017,9.66,834.41,N/A,N/A,N/A,N/A,N/A,N/A
1/17/2017,10.34,906,2267.89,81.31,129.94,103.74,37.2,47.4
1/18/2017,10.23,887.99,2271.89,80.89,130.52,103.91,37.06,47.15
1/19/2017,10.42,902.92,2263.69,80.75,129.55,103.62,36.96,47.11
1/20/2017,10.62,894.31,2271.31,80.81,130.17,103.92,37.02,47.3
1/21/2017,10.93,925.06,N/A,N/A,N/A,N/A,N/A,N/A
1/22/2017,10.77,931.22,N/A,N/A,N/A,N/A,N/A,N/A
1/23/2017,10.8,910.7,2265.2,81.03,129.75,103.68,37.53,47.52
1/24/2017,10.57,887,2280.07,80.91,131.6,104.37,37.8,47.71
1/25/2017,10.55,896,2298.37,80.67,132.66,105.24,38.13,48.21
1/26/2017,10.6,917.02,2296.68,80.7,132.31,105.13,37.97,48.06
1/27/2017,10.55,922.63,2294.69,80.79,131.65,105.01,38.01,47.95
1/28/2017,10.58,924.98,N/A,N/A,N/A,N/A,N/A,N/A
1/29/2017,10.49,916.54,N/A,N/A,N/A,N/A,N/A,N/A
1/30/2017,10.6,923.23,2280.9,80.77,130.19,104.4,37.82,47.64
1/31/2017,10.7,970.01,2278.87,80.94,130.93,104.36,37.84,47.75
2/1/2017,10.72,992.75,2279.55,80.63,130.68,104.4,37.92,47.91
2/2/2017,10.82,1008.38,2280.85,80.68,130.68,104.46,38.05,47.97
2/3/2017,10.99,1018,2297.42,80.7,132.4,105.22,38.29,48.19
2/4/2017,11.41,1035.54,N/A,N/A,N/A,N/A,N/A,N/A
2/5/2017,11.26,1016.32,N/A,N/A,N/A,N/A,N/A,N/A
2/6/2017,11.34,1022.58,2292.56,80.95,131.63,105.05,38.2,47.91
2/7/2017,11.51,1053.96,2293.08,81.08,131.15,105.04,38.06,47.86
2/8/2017,11.41,1056.7,2294.67,81.3,131.17,105.21,38.36,48.01
2/9/2017,11.02,994.24,2307.87,81.08,132.66,105.79,38.56,48.14
2/10/2017,11.43,1001.99,2316.1,81.06,133.54,106.21,38.91,48.4
2/11/2017,11.52,1018.65,N/A,N/A,N/A,N/A,N/A,N/A
2/12/2017,11.5,1010,N/A,N/A,N/A,N/A,N/A,N/A
2/13/2017,11.43,1002.82,2328.25,80.97,133.89,106.79,39.06,48.59
2/14/2017,13.14,1013.92,2337.58,80.8,134.3,107.21,39.12,48.55
2/15/2017,12.98,1014.53,2349.25,80.67,134.94,107.78,39.41,48.82
2/16/2017,12.89,1038.94,2347.22,80.82,134.6,107.65,39.3,48.86
2/17/2017,12.75,1057.3,2351.16,81.01,134.72,107.82,39.17,48.65
2/18/2017,12.89,1062.15,N/A,N/A,N/A,N/A,N/A,N/A
2/19/2017,12.9,1059.88,N/A,N/A,N/A,N/A,N/A,N/A
2/20/2017,12.61,1089.82,N/A,N/A,N/A,N/A,N/A,N/A
2/21/2017,12.83,1128.29,2365.38,81,135.84,108.46,39.49,48.93
2/22/2017,12.75,1128.71,2362.82,81.05,135.18,108.4,39.59,48.94
2/23/2017,13.21,1186.9,2363.81,81.2,134.5,108.44,39.61,48.99
2/24/2017,13.2,1186.91,2367.34,81.5,134.54,108.61,39.19,48.6
2/25/2017,13.65,1158,N/A,N/A,N/A,N/A,N/A,N/A
2/26/2017,14.74,1184.91,N/A,N/A,N/A,N/A,N/A,N/A
2/27/2017,15.66,1195.81,2369.75,81.33,135.66,108.77,39.03,48.56
2/28/2017,16.4,1195.08,2363.64,81.27,133.97,108.5,38.69,48.39
3/1/2017,17.37,1230,2395.96,80.78,136.14,109.93,39.31,48.95
3/2/2017,19.27,1269.17,2381.92,80.63,134.66,109.3,38.61,48.53
3/3/2017,19.68,1292.86,2383.12,80.69,134.72,109.35,38.94,48.77
3/4/2017,18.65,1273.97,N/A,N/A,N/A,N/A,N/A,N/A
3/5/2017,19.4,1278.98,N/A,N/A,N/A,N/A,N/A,N/A
3/6/2017,19.68,1284.99,2375.31,80.64,133.83,109.01,39,48.65
3/7/2017,18.96,1237.36,2368.39,80.49,132.95,108.65,39.05,48.54
3/8/2017,16.68,1150.22,2362.98,80.3,132.15,108.48,38.66,48.25
3/9/2017,17.82,1197.3,2364.87,80.05,131.63,108.58,38.33,48.31
3/10/2017,19.2,1109.01,2372.6,80.21,132.1,108.94,38.65,48.76
3/11/2017,21.64,1188.11,N/A,N/A,N/A,N/A,N/A,N/A
3/12/2017,23.39,1235.58,N/A,N/A,N/A,N/A,N/A,N/A
3/13/2017,28.64,1245.49,2373.47,80.05,132.46,109.06,39.14,49.03
3/14/2017,28.69,1247.42,2365.45,80.04,131.86,108.65,38.92,48.69
3/15/2017,35.65,1263,2385.26,80.54,133.84,109.58,39.83,49.48
3/16/2017,45.96,1175.11,2381.38,80.42,133.77,109.41,40.1,49.77
3/17/2017,44.62,1069.57,2378.25,80.58,133.98,109.25,40.06,49.76
3/18/2017,33.64,970,N/A,N/A,N/A,N/A,N/A,N/A
3/19/2017,43.21,1019.49,N/A,N/A,N/A,N/A,N/A,N/A
3/20/2017,42.31,1044.96,2373.47,80.74,133.47,109.05,40.47,49.86
3/21/2017,42.36,1114.42,2344.02,80.93,130.53,107.66,39.96,49.51
3/22/2017,41.37,1034.57,2348.45,81.04,130.57,107.86,40.08,49.6
3/23/2017,42.99,1025.14,2345.96,81,130.97,107.76,40.1,49.71
3/24/2017,52.93,934.87,2343.98,80.98,130.63,107.21,40.21,49.73
3/25/2017,50.5,963.72,N/A,N/A,N/A,N/A,N/A,N/A
3/26/2017,50.73,973.08,N/A,N/A,N/A,N/A,N/A,N/A
3/27/2017,48.97,1042.08,2341.59,81.15,130.66,107.08,40.09,49.8
3/28/2017,50.3,1045.4,2358.57,81,131.76,107.9,40.19,49.96
3/29/2017,53.1,1043.27,2361.13,81.16,132.33,108.01,40.25,50.02
3/30/2017,51.88,1042.34,2368.06,81.03,133.02,108.35,40.02,49.82
3/31/2017,50.18,1088.99,2362.72,81.08,133.28,108.09,39.72,49.68
4/1/2017,50.71,1092,N/A,N/A,N/A,N/A,N/A,N/A
4/2/2017,48.74,1113.99,N/A,N/A,N/A,N/A,N/A,N/A
4/3/2017,44.25,1152.6,2358.84,81.2,132.19,107.92,40.03,49.67
4/4/2017,44.47,1143.99,2360.16,81.11,132.12,107.97,40.12,49.71
4/5/2017,44.78,1132.99,2352.95,81.18,130.88,107.64,40.05,49.49
4/6/2017,43.3,1192.3,2357.49,81.21,132.03,107.91,39.98,49.49
4/7/2017,42.32,1194,2355.54,81.03,131.93,107.84,39.97,49.44
4/8/2017,44.45,1184.5,N/A,N/A,N/A,N/A,N/A,N/A
4/9/2017,43.92,1210.97,N/A,N/A,N/A,N/A,N/A,N/A
4/10/2017,43.92,1210,2357.16,81.11,132.34,107.89,39.78,49.4
4/11/2017,43.83,1223.99,2353.78,81.37,133.09,107.81,39.82,49.54
4/12/2017,46.48,1214.17,2344.93,81.56,131.51,107.38,39.96,49.55
4/13/2017,49.77,1177.05,2328.95,81.68,130.2,106.65,39.75,49.27
4/14/2017,47.2,1173.74,N/A,N/A,N/A,N/A,N/A,N/A
4/15/2017,48.94,1178.85,N/A,N/A,N/A,N/A,N/A,N/A
4/16/2017,48.13,1177.99,N/A,N/A,N/A,N/A,N/A,N/A
4/17/2017,47.94,1189.91,2349.01,81.63,131.75,107.56,40.09,49.67
4/18/2017,49.79,1201.94,2342.19,81.92,131.74,107.27,39.62,49.33
4/19/2017,47.78,1214.21,2338.17,81.77,132.02,107.12,39.33,49.11
4/20/2017,49.38,1236.15,2355.84,81.66,133.38,107.93,39.74,49.56
4/21/2017,48.37,1249.99,2348.69,81.68,133.09,107.61,39.7,49.54
4/22/2017,48.61,1247,N/A,N/A,N/A,N/A,N/A,N/A
4/23/2017,48.96,1251.98,N/A,N/A,N/A,N/A,N/A,N/A
4/24/2017,50.12,1257.29,2374.15,81.57,134.43,108.79,40.16,50.59
4/25/2017,50.31,1281.16,2388.61,81.32,135.44,109.47,40.45,50.89
4/26/2017,53.42,1298.44,2387.45,81.4,135.7,109.39,40.3,50.77
4/27/2017,63.67,1349.26,2388.77,81.46,135.77,109.49,40.17,50.7
4/28/2017,73.14,1353.34,2384.2,81.55,134.42,109.29,40.34,50.7
4/29/2017,70.4,1365.43,N/A,N/A,N/A,N/A,N/A,N/A
4/30/2017,80.87,1384.55,N/A,N/A,N/A,N/A,N/A,N/A
5/1/2017,79.35,1436.5,2388.33,81.23,134.92,109.5,40.5,50.93
5/2/2017,77.55,1471.99,2391.17,81.37,134.58,109.55,40.7,51.23
